arch,norm,dataset,method,candidate,seed,clean,aa,evidence,source_sha256
r18,L2,cifar100,RAAT++,recorded_baseline,2,60.17,40.89,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,TRADES,recorded_baseline,0,62.42,40.45,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,TRADES,recorded_baseline,1,62.16,40.96,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,cifar100,TRADES,recorded_baseline,2,62.09,40.85,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,Cons-AT,recorded_baseline,0,58.98,40.9,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,Cons-AT,recorded_baseline,1,59.44,40.61,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,Cons-AT,recorded_baseline,2,59.77,41.21,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,MART,recorded_baseline,0,56.08,40.93,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,MART,recorded_baseline,1,56.33,41.29,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,MART,recorded_baseline,2,56.94,41.0,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,Ours,e15r211,0,60.8,40.59,training_and_full_aa_checked,19eed503d1e208dd3d0e9e095258000cbe9ebe1c6e05845294abf8d202690f14
r18,L2,tinyimagenet,Ours,e15r211,1,60.79,39.74,training_and_full_aa_checked,5a19af2414f13a730145beb17975307f23d222746cea25a0bed2357d750a08f6
r18,L2,tinyimagenet,Ours,e15r211,2,60.44,40.37,training_and_full_aa_checked,81313edb0fab4f0addccd549a6f144681d66bf070de9ce6e0e13f8257e13d69f
r18,L2,tinyimagenet,PGD-AT,recorded_baseline,0,59.0,40.01,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,PGD-AT,recorded_baseline,1,58.35,40.1,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,PGD-AT,recorded_baseline,2,58.24,39.45,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,RAAT,recorded_baseline,0,58.86,38.79,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,RAAT,recorded_baseline,1,59.71,39.11,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
