key,method,percent,rho,seed,clean,aa,test_size,autoattack,subset_indices_sha256
raat_p10_rna_s0,raat,10,,0,64.96,27.34,10000,standard_full_APGD-CE_APGD-T_FAB-T_SQUARE,850d3ee73e7aefe67a6709bd8d7769179d5e701cd92eebfdd5e5657fc5d34c74
raat_p10_rna_s1,raat,10,,1,67.3,27.95,10000,standard_full_APGD-CE_APGD-T_FAB-T_SQUARE,3e04d656b9418e5b2108290d6ef58d8cee316ba9319770eb0d646582ba8e385f
raat_p10_rna_s2,raat,10,,2,58.18,28.45,10000,standard_full_APGD-CE_APGD-T_FAB-T_SQUARE,712486319fe3da052a1293756b83fcefd33b4cf2a826257871a758580a40fa16
align_p10_r0p002_s0,align,10,0.002,0,65.56,29.43,10000,standard_full_APGD-CE_APGD-T_FAB-T_SQUARE,850d3ee73e7aefe67a6709bd8d7769179d5e701cd92eebfdd5e5657fc5d34c74
align_p10_r0p002_s1,align,10,0.002,1,61.01,27.59,10000,standard_full_APGD-CE_APGD-T_FAB-T_SQUARE,3e04d656b9418e5b2108290d6ef58d8cee316ba9319770eb0d646582ba8e385f
align_p10_r0p002_s2,align,10,0.002,2,58.04,28.21,10000,standard_full_APGD-CE_APGD-T_FAB-T_SQUARE,712486319fe3da052a1293756b83fcefd33b4cf2a826257871a758580a40fa16
align_p10_r0p001_s0,align,10,0.001,0,65.0,28.41,10000,standard_full_APGD-CE_APGD-T_FAB-T_SQUARE,850d3ee73e7aefe67a6709bd8d7769179d5e701cd92eebfdd5e5657fc5d34c74
align_p10_r0p001_s1,align,10,0.001,1,61.44,26.77,10000,standard_full_APGD-CE_APGD-T_FAB-T_SQUARE,3e04d656b9418e5b2108290d6ef58d8cee316ba9319770eb0d646582ba8e385f
align_p10_r0p001_s2,align,10,0.001,2,59.43,29.02,10000,standard_full_APGD-CE_APGD-T_FAB-T_SQUARE,712486319fe3da052a1293756b83fcefd33b4cf2a826257871a758580a40fa16
