method,percent,rho,clean_mean,clean_std,aa_mean,aa_std,mean_mean,mean_std,G_of_mean_accuracies,per_seed_G_mean,per_seed_G_std
raat,10,,63.48,3.8675056561044596,27.913333333333334,0.4538967087589664,45.696666666666665,1.788511174754641,42.09439867725871,42.06599955305054,1.0980960504825545
align,10,0.002,61.53666666666667,3.092532223850798,28.41,0.7643733817099249,44.973333333333336,1.8464846480692885,41.812159714609336,41.80552594735967,1.5164762657679323
align,10,0.001,61.95666666666666,2.3031041854177787,28.066666666666666,0.9500994100034422,45.01166666666666,1.1983692623264701,41.700325072007665,41.68572585937098,0.9930053259522028
