method,percent,images,clean_mean,clean_std,aa_mean,aa_std,mean_mean,mean_std,G_of_mean_accuracies,per_seed_G_mean,per_seed_G_std
raat,100,50000,85.81666666666666,0.11728408057173079,47.74333333333333,0.10208928554075536,66.78,0.0965228815704682,64.00916904805297,64.00914307426031,0.09934568707305678
align,100,50000,85.57000000000001,0.3334666400106609,49.02,0.12569805089976446,67.295,0.1784656829757476,64.76605129232445,64.76587597523542,0.15135772336979914
raat,50,25000,81.21333333333334,0.08259674462242426,41.99,0.20607442021431738,61.60166666666667,0.08778129388175537,58.39647135458329,58.39624877979266,0.12946730049663413
align,50,25000,81.55666666666666,0.5244891694676747,43.306666666666665,0.15173075568988015,62.431666666666665,0.26306948807407715,59.43018911107197,59.429744820689166,0.20533845500183745
raat,20,10000,68.47333333333333,0.7484354050654971,31.37,0.22226110770892982,49.92166666666667,0.47497953172274243,46.34661224584453,46.346418883932856,0.40540921922433143
align,20,10000,70.42666666666666,1.8468050489667018,33.52333333333333,0.07930251502247074,51.975,0.92739779311074,48.58947028135028,48.58534608898052,0.6421931801660505
raat,10,5000,63.48,3.8675056561044596,27.913333333333334,0.4538967087589664,45.696666666666665,1.788511174754641,42.09439867725871,42.06599955305054,1.0980960504825545
align,10,5000,61.53666666666667,3.092532223850798,28.41,0.7643733817099249,44.973333333333336,1.8464846480692885,41.812159714609336,41.80552594735967,1.5164762657679323
