rho,clean_mean,clean_std,aa_mean,aa_std,mean_mean,mean_std,G_of_mean_accuracies,per_seed_G_mean,per_seed_G_std
0.0,85.28333333333333,0.2322833518691223,48.05,0.3741657386773931,66.66666666666667,0.1371941041817054,64.01456214539522,64.01378664379342,0.19988210582010169
0.0005,85.48,0.10230672835481873,48.126666666666665,0.26246692913372743,66.80333333333333,0.09401536517446564,64.13943768592509,64.13910149544489,0.14534794008136864
0.001,85.51666666666667,0.16048537489614115,48.43,0.1630950643030007,66.97333333333333,0.02867441755681186,64.35504771707241,64.35483291500518,0.055801568970231176
0.002,85.57000000000001,0.3334666400106609,49.02,0.12569805089976446,67.295,0.1784656829757476,64.76605129232445,64.76587597523542,0.15135772336979914
0.003,85.57,0.2458997085534416,49.16,0.1930457631409391,67.365,0.10352133435512394,64.85847053392486,64.8581727073389,0.10582878468142123
0.005,85.72666666666666,0.3566822426505424,49.29333333333333,0.39041288685470094,67.50999999999999,0.026770630673686534,65.00579324610658,65.0046092100222,0.12469209663570643
0.01,85.06,0.1314026889628416,49.82,0.3179098404684345,67.44,0.1354621718414397,65.09753605168171,65.09709977941455,0.185293395132652
